Using device: cuda
Start training with 22849352 number of parameters
Iteration 127: Allocated: 932.38 MB, Reserved: 11628.00 MB
Iteration 128: Allocated: 937.62 MB, Reserved: 11628.00 MB
Iteration 129: Allocated: 940.72 MB, Reserved: 11628.00 MB
Iteration 130: Allocated: 909.91 MB, Reserved: 11628.00 MB
Iteration 131: Allocated: 912.95 MB, Reserved: 11628.00 MB
Iteration 132: Allocated: 915.69 MB, Reserved: 11628.00 MB
Iteration 133: Allocated: 893.30 MB, Reserved: 11628.00 MB
Iteration 134: Allocated: 846.11 MB, Reserved: 11628.00 MB
Iteration 135: Allocated: 922.51 MB, Reserved: 11628.00 MB
Iteration 136: Allocated: 725.94 MB, Reserved: 11628.00 MB
Iteration 137: Allocated: 932.15 MB, Reserved: 11628.00 MB
Iteration 138: Allocated: 852.77 MB, Reserved: 11628.00 MB
Iteration 139: Allocated: 843.30 MB, Reserved: 11628.00 MB
Iteration 140: Allocated: 934.56 MB, Reserved: 11628.00 MB
