Using device: cuda
Start training with 22849352 number of parameters
Iteration 104: Allocated: 606.97 MB, Reserved: 12024.00 MB
Iteration 105: Allocated: 627.74 MB, Reserved: 12024.00 MB
Iteration 106: Allocated: 658.48 MB, Reserved: 12024.00 MB
Iteration 107: Allocated: 586.18 MB, Reserved: 12024.00 MB
Iteration 108: Allocated: 589.27 MB, Reserved: 12024.00 MB
Iteration 109: Allocated: 591.54 MB, Reserved: 12024.00 MB
Iteration 110: Allocated: 600.80 MB, Reserved: 12024.00 MB
Iteration 111: Allocated: 559.99 MB, Reserved: 12024.00 MB
Iteration 112: Allocated: 596.12 MB, Reserved: 12024.00 MB
Iteration 113: Allocated: 639.54 MB, Reserved: 12024.00 MB
Iteration 114: Allocated: 588.61 MB, Reserved: 12024.00 MB
Iteration 115: Allocated: 635.90 MB, Reserved: 12024.00 MB
Iteration 116: Allocated: 612.72 MB, Reserved: 12024.00 MB
Iteration 117: Allocated: 603.38 MB, Reserved: 12024.00 MB
Iteration 118: Allocated: 565.84 MB, Reserved: 12024.00 MB
Iteration 119: Allocated: 584.85 MB, Reserved: 12024.00 MB
Iteration 120: Allocated: 633.50 MB, Reserved: 12024.00 MB
Iteration 121: Allocated: 624.03 MB, Reserved: 12024.00 MB
Iteration 122: Allocated: 424.81 MB, Reserved: 12024.00 MB
Iteration 123: Allocated: 473.23 MB, Reserved: 12024.00 MB
Iteration 124: Allocated: 589.27 MB, Reserved: 12024.00 MB
Iteration 125: Allocated: 598.80 MB, Reserved: 12024.00 MB
Iteration 126: Allocated: 611.95 MB, Reserved: 12024.00 MB
Iteration 127: Allocated: 599.88 MB, Reserved: 12024.00 MB
Iteration 128: Allocated: 630.75 MB, Reserved: 12024.00 MB
Iteration 129: Allocated: 626.31 MB, Reserved: 12024.00 MB
Iteration 130: Allocated: 609.58 MB, Reserved: 12024.00 MB
Iteration 131: Allocated: 640.53 MB, Reserved: 12028.00 MB
Iteration 132: Allocated: 617.33 MB, Reserved: 12028.00 MB
Iteration 133: Allocated: 616.08 MB, Reserved: 12028.00 MB
Iteration 134: Allocated: 628.03 MB, Reserved: 12028.00 MB
Iteration 135: Allocated: 632.48 MB, Reserved: 12028.00 MB
Iteration 136: Allocated: 612.69 MB, Reserved: 12028.00 MB
Iteration 137: Allocated: 656.38 MB, Reserved: 12028.00 MB
Iteration 138: Allocated: 642.30 MB, Reserved: 12028.00 MB
Iteration 139: Allocated: 611.34 MB, Reserved: 12028.00 MB
Iteration 140: Allocated: 639.40 MB, Reserved: 12028.00 MB
